FileName,PreProcessor,RestartPolicy,Bandit,AssignmentAlgorithm,hasSolution,Time,PreprocessTime
bmc-2.cnf,None,None,None,LRB,True,0.06218719482421875,0
bmc-2.cnf,None,None,None,CHB,True,0.42099499702453613,0
bmc-7.cnf,lighter-NiVER,MLR,UCB,/,True,0.03499913215637207,1.9161291122436523
bmc-7.cnf,lighter-NiVER,MLR,None,VSIDS,True,0.035003662109375,1.9683032035827637
bmc-7.cnf,lighter-NiVER,MLR,None,ERWA,True,0.03999972343444824,1.9135658740997314
bmc-7.cnf,lighter-NiVER,MLR,None,RSR,True,0.044634103775024414,2.382410764694214
bmc-7.cnf,lighter-NiVER,MLR,None,LRB,True,0.044989585876464844,2.0228652954101562
bmc-7.cnf,lighter-NiVER,MLR,None,CHB,True,0.2429792881011963,2.0318655967712402
bmc-7.cnf,lighter-NiVER,None,None,VSIDS,True,0.04098105430603027,2.0273468494415283
bmc-7.cnf,lighter-NiVER,None,None,ERWA,True,0.04160618782043457,2.028027057647705
bmc-7.cnf,lighter-NiVER,None,None,RSR,True,0.043997764587402344,2.0681796073913574
bmc-7.cnf,lighter-NiVER,None,None,LRB,True,0.042487144470214844,65.46937608718872
bmc-7.cnf,lighter-NiVER,None,None,CHB,True,0.21941566467285156,2.6838529109954834
bmc-7.cnf,None,MLR,UCB,/,True,0.2756643295288086,0
bmc-7.cnf,None,MLR,None,VSIDS,True,0.289583683013916,0
bmc-7.cnf,None,MLR,None,ERWA,True,0.23499679565429688,0
bmc-7.cnf,None,MLR,None,RSR,True,0.23607373237609863,0
bmc-7.cnf,None,MLR,None,LRB,True,0.2475728988647461,0
bmc-7.cnf,None,MLR,None,CHB,True,1.5216820240020752,0
bmc-7.cnf,None,None,None,VSIDS,True,0.2743809223175049,0
bmc-7.cnf,None,None,None,ERWA,True,0.2303469181060791,0
bmc-7.cnf,None,None,None,RSR,True,0.23699522018432617,0
bmc-7.cnf,None,None,None,LRB,True,0.23344898223876953,0
bmc-7.cnf,None,None,None,CHB,True,1.556558609008789,0
test10_20s.cnf,lighter-NiVER,MLR,UCB,/,True,63.10339713096619,0.03152942657470703
TIMEOUT,test10_20s.cnf,lighter-NiVER,MLR,None
TIMEOUT,test10_20s.cnf,lighter-NiVER,MLR,None
TIMEOUT,test10_20s.cnf,lighter-NiVER,MLR,None
TIMEOUT,test10_20s.cnf,lighter-NiVER,MLR,None
test10_20s.cnf,lighter-NiVER,MLR,None,CHB,True,3.134538412094116,0.03220701217651367
test10_20s.cnf,lighter-NiVER,None,None,VSIDS,True,12.148000240325928,0.03397679328918457
TIMEOUT,test10_20s.cnf,lighter-NiVER,None,None
test10_20s.cnf,lighter-NiVER,None,None,RSR,True,12.380393743515015,0.03300046920776367
test10_20s.cnf,lighter-NiVER,None,None,LRB,True,19.833742380142212,0.03467845916748047
test10_20s.cnf,lighter-NiVER,None,None,CHB,True,3.6840453147888184,0.03301692008972168
test10_20s.cnf,None,MLR,UCB,/,True,64.22353792190552,0
TIMEOUT,test10_20s.cnf,None,MLR,None
TIMEOUT,test10_20s.cnf,None,MLR,None
TIMEOUT,test10_20s.cnf,None,MLR,None
TIMEOUT,test10_20s.cnf,None,MLR,None
test10_20s.cnf,None,MLR,None,CHB,True,3.155025005340576,0
test10_20s.cnf,None,None,None,VSIDS,True,12.452036142349243,0
TIMEOUT,test10_20s.cnf,None,None,None
test10_20s.cnf,None,None,None,RSR,True,11.951512336730957,0
test10_20s.cnf,None,None,None,LRB,True,19.33694291114807,0
test10_20s.cnf,None,None,None,CHB,True,3.657574415206909,0
test1_002s.cnf,lighter-NiVER,MLR,UCB,/,True,0.010999202728271484,0.013798713684082031
test1_002s.cnf,lighter-NiVER,MLR,None,VSIDS,True,0.01142573356628418,0.013017654418945312
test1_002s.cnf,lighter-NiVER,MLR,None,ERWA,True,0.011017560958862305,0.01399850845336914
test1_002s.cnf,lighter-NiVER,MLR,None,RSR,True,0.00499415397644043,0.014014720916748047
test1_002s.cnf,lighter-NiVER,MLR,None,LRB,True,0.00567936897277832,0.014015674591064453
test1_002s.cnf,lighter-NiVER,MLR,None,CHB,True,0.015665531158447266,0.013706445693969727
test1_002s.cnf,lighter-NiVER,None,None,VSIDS,True,0.010110855102539062,0.01298069953918457
test1_002s.cnf,lighter-NiVER,None,None,ERWA,True,0.010016679763793945,0.013000011444091797
test1_002s.cnf,lighter-NiVER,None,None,RSR,True,0.004849672317504883,0.014016866683959961
test1_002s.cnf,lighter-NiVER,None,None,LRB,True,0.004017353057861328,0.01366877555847168
test1_002s.cnf,lighter-NiVER,None,None,CHB,True,0.014638662338256836,0.013018369674682617
test1_002s.cnf,None,MLR,UCB,/,True,0.011016607284545898,0
test1_002s.cnf,None,MLR,None,VSIDS,True,0.011018753051757812,0
test1_002s.cnf,None,MLR,None,ERWA,True,0.01203155517578125,0
test1_002s.cnf,None,MLR,None,RSR,True,0.005022764205932617,0
test1_002s.cnf,None,MLR,None,LRB,True,0.004642486572265625,0
test1_002s.cnf,None,MLR,None,CHB,True,0.014605045318603516,0
test1_002s.cnf,None,None,None,VSIDS,True,0.00992274284362793,0
test1_002s.cnf,None,None,None,ERWA,True,0.010019063949584961,0
test1_002s.cnf,None,None,None,RSR,True,0.004982471466064453,0
test1_002s.cnf,None,None,None,LRB,True,0.0040018558502197266,0
test1_002s.cnf,None,None,None,CHB,True,0.01306009292602539,0
test2_about5s.cnf,lighter-NiVER,MLR,UCB,/,True,3.747154712677002,0.017581939697265625
test2_about5s.cnf,lighter-NiVER,MLR,None,VSIDS,True,3.4639313220977783,0.018743276596069336
TIMEOUT,test2_about5s.cnf,lighter-NiVER,MLR,None
test2_about5s.cnf,lighter-NiVER,MLR,None,RSR,True,17.970762491226196,0.01757025718688965
test2_about5s.cnf,lighter-NiVER,MLR,None,LRB,True,9.367190837860107,0.01698017120361328
test2_about5s.cnf,lighter-NiVER,MLR,None,CHB,True,6.194805145263672,0.017023801803588867
test2_about5s.cnf,lighter-NiVER,None,None,VSIDS,True,5.377328634262085,0.017086505889892578
TIMEOUT,test2_about5s.cnf,lighter-NiVER,None,None
test2_about5s.cnf,lighter-NiVER,None,None,RSR,True,9.713832378387451,0.01699686050415039
test2_about5s.cnf,lighter-NiVER,None,None,LRB,True,12.271413564682007,0.01869940757751465
test2_about5s.cnf,lighter-NiVER,None,None,CHB,True,1.7218286991119385,0.018098115921020508
test2_about5s.cnf,None,MLR,UCB,/,True,3.6965620517730713,0
test2_about5s.cnf,None,MLR,None,VSIDS,True,3.469332456588745,0
TIMEOUT,test2_about5s.cnf,None,MLR,None
test2_about5s.cnf,None,MLR,None,RSR,True,18.142305374145508,0
test2_about5s.cnf,None,MLR,None,LRB,True,9.54912257194519,0
test2_about5s.cnf,None,MLR,None,CHB,True,6.1455979347229,0
test2_about5s.cnf,None,None,None,VSIDS,True,5.286008834838867,0
TIMEOUT,test2_about5s.cnf,None,None,None
test2_about5s.cnf,None,None,None,RSR,True,9.758740186691284,0
test2_about5s.cnf,None,None,None,LRB,True,12.609613180160522,0
test2_about5s.cnf,None,None,None,CHB,True,1.7111194133758545,0
test3_about7s.cnf,lighter-NiVER,MLR,UCB,/,True,5.012277603149414,0.017640113830566406
test3_about7s.cnf,lighter-NiVER,MLR,None,VSIDS,True,1.7824678421020508,0.01757955551147461
TIMEOUT,test3_about7s.cnf,lighter-NiVER,MLR,None
test3_about7s.cnf,lighter-NiVER,MLR,None,RSR,True,10.971614599227905,0.01699686050415039
test3_about7s.cnf,lighter-NiVER,MLR,None,LRB,True,12.443743228912354,0.016622543334960938
test3_about7s.cnf,lighter-NiVER,MLR,None,CHB,True,0.2839071750640869,0.01591968536376953
test3_about7s.cnf,lighter-NiVER,None,None,VSIDS,True,6.951413631439209,0.016001224517822266
TIMEOUT,test3_about7s.cnf,lighter-NiVER,None,None
test3_about7s.cnf,lighter-NiVER,None,None,RSR,True,15.797978401184082,0.01801586151123047
test3_about7s.cnf,lighter-NiVER,None,None,LRB,True,25.398890018463135,0.0178987979888916
test3_about7s.cnf,lighter-NiVER,None,None,CHB,True,3.0427863597869873,0.0169985294342041
test3_about7s.cnf,None,MLR,UCB,/,True,4.968605041503906,0
test3_about7s.cnf,None,MLR,None,VSIDS,True,1.7507274150848389,0
TIMEOUT,test3_about7s.cnf,None,MLR,None
test3_about7s.cnf,None,MLR,None,RSR,True,11.123512029647827,0
test3_about7s.cnf,None,MLR,None,LRB,True,12.550308465957642,0
test3_about7s.cnf,None,MLR,None,CHB,True,0.2783796787261963,0
test3_about7s.cnf,None,None,None,VSIDS,True,7.061946868896484,0
TIMEOUT,test3_about7s.cnf,None,None,None
test3_about7s.cnf,None,None,None,RSR,True,1408.6492602825165,0
test3_about7s.cnf,None,None,None,LRB,True,24.73470687866211,0
test3_about7s.cnf,None,None,None,CHB,True,2.9731993675231934,0
test4_2s.cnf,lighter-NiVER,MLR,UCB,/,True,1.3312325477600098,0.018989086151123047
test4_2s.cnf,lighter-NiVER,MLR,None,VSIDS,True,1.7680156230926514,0.019677400588989258
TIMEOUT,test4_2s.cnf,lighter-NiVER,MLR,None
test4_2s.cnf,lighter-NiVER,MLR,None,RSR,True,4.3411948680877686,0.018916606903076172
test4_2s.cnf,lighter-NiVER,MLR,None,LRB,True,36.322720527648926,0.018918514251708984
test4_2s.cnf,lighter-NiVER,MLR,None,CHB,True,1.2039074897766113,0.020992755889892578
test4_2s.cnf,lighter-NiVER,None,None,VSIDS,True,5.130947589874268,0.01990365982055664
TIMEOUT,test4_2s.cnf,lighter-NiVER,None,None
test4_2s.cnf,lighter-NiVER,None,None,RSR,True,6.7224955558776855,0.01901698112487793
test4_2s.cnf,lighter-NiVER,None,None,LRB,True,4.112143516540527,0.018629074096679688
test4_2s.cnf,lighter-NiVER,None,None,CHB,True,1.1159281730651855,0.01962590217590332
test4_2s.cnf,None,MLR,UCB,/,True,1.3529932498931885,0
test4_2s.cnf,None,MLR,None,VSIDS,True,1.7821435928344727,0
TIMEOUT,test4_2s.cnf,None,MLR,None
test4_2s.cnf,None,MLR,None,RSR,True,4.27246618270874,0
test4_2s.cnf,None,MLR,None,LRB,True,35.029242515563965,0
test4_2s.cnf,None,MLR,None,CHB,True,1.1994493007659912,0
test4_2s.cnf,None,None,None,VSIDS,True,5.1285529136657715,0
TIMEOUT,test4_2s.cnf,None,None,None
test4_2s.cnf,None,None,None,RSR,True,6.6070990562438965,0
